header,questionEN,questionAR,answerEN1,answerAR1,value1,answerEN2,answerAR2,value2,answerEN3,answerAR3,value3,answerEN4,answerAR4,value4
Q1,I enjoy large social gatherings.,أستمتع بالتجمعات الاجتماعية الكبيرة.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q2,"Right now, I feel in control of my life.",في الوقت الحالي، أشعر بأن لدي سيطرة على حياتي.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q3,It's easy for me to turn a goal into an action plan.,من السهل علي إعداد خطة عمل لتحقيق هدف معين.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q4,I hate last-minute changes to my plans.,أكره حدوث تغييرات في اللحظة الأخيرة على خططي.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q5,I am a very confident person.,أنا شخص ذو ثقة عالية بالنفس.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q6,I can control my emotions.,يمكنني التحكم بمشاعري.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q7,I rarely start conversations with others.,نادراً ما أبدأ المحادثات مع الآخرين.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q8,"I always get things done, no matter the time and effort it takes.",أقوم دائما بإنجاز المهام، بغض النظر عن الوقت والجهد الذي يتطلبه الأمر.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q9,I don't perform well when being evaluated.,لا أقدم أداء جيداً عندما يتم تقييمي.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q10,I can easily handle anyone who tries to challenge me.,يمكنني بسهولة التعامل مع من يريد أن يتحداني.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q11,My accomplishments are entirely due to my own efforts.,جميع إنجازاتي ناتجة بالكامل عن مجهودي الخاص.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q12,"If someone asks me, I can offer advice on how to achieve what they want.",إن استشارني شخص ما، يمكنني تقديم النصيحة لمساعدته في تحقيق ما يريد.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q13,I am full of energy all the time.,أنا مفعم بالطاقة طوال الوقت.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q14,I don't make good judgements in unfamiliar situations.,لا أصدر أحكاما جيدة في المواقف غير المألوفة.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q15,I am fully confident in my knowledge.,أنا واثق تماماً من معرفتي.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q16,"I only show emotions, which I want people to see.",أقوم فقط بإظهار المشاعر التي أود أن يراها الناس.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q17,I've worked extra hours to make sure my assignments are completed.,في السابق، عملت ساعات إضافية للتأكد من إتمام مهامي.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q18,I feel like any exam will just show how little I know.,أشعر بأن أي اختبار سيظهر مدى قلّة معرفتي.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q19,I forget to return things now and then.,أنسى أن أعيد الأشياء بين الحين والآخر.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q20,I can convince someone I'm right even when I'm not.,يمكنني إقناع شخص ما بأنني على حق حتى عندما لا أكون كذلك.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q21,I don't need reassurance for my work.,لست بحاجة إلى الطمأنة بشأن أدائي في العمل.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q22,I often visualize the steps I need to take to become more successful.,أتخيل في أغلب الأحيان تلك الخطوات التي يجب اتخاذها لأكون أكثر نجاحاً.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q23,I love trying new things.,أحب تجربة الأشياء الجديدة.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
Q24,"I could perform better in many areas, but I lack confidence.",يمكنني تقديم أداء أفضل في العديد من المجالات، ولكنني أفتقر إلى الثقة بالنفس.,Strongly disagree,لا أوافق بشدة,4,Disagree,لا أوافق,3,Agree,أوافق,2,Strongly agree,أوافق بشدة,1
Q25,I feel rested in the mornings.,أشعر بالراحة في الصباح.,Strongly disagree,لا أوافق بشدة,1,Disagree,لا أوافق,2,Agree,أوافق,3,Strongly agree,أوافق بشدة,4
