header,questionEN,questionAR,answerEN1,answerAR1,value1,answerEN2,answerAR2,value2,answerEN3,answerAR3,value3,answerEN4,answerAR4,value4,answerEN5,answerAR5,value5
Q1,"What is the opposite of the following word \ambiguous\""?""","ما هو عكس الكلمة التالية \غامض\""؟""",Vague,مبهم,1,Uncertain,عدم مؤكد,2,Explicit,جلي,3,Dubious,مشكوك فيه,4,,,
Q2,"Puris’ comet appears around every 20 years, whereas Farah’s comet can be seen more frequently. Aria’s comet last appeared 2 years ago but appears less often than Puris’, roughly every 30 years. Wave’s comet appears almost as frequently as Aria’s. \nBased on this information, which of the following conclusions is most accurate?",يظهر مذنب بوريس كل 20 سنة تقريبا، بينما يمكن رؤية مذنب فرح بشكل متكرر أكثر. تمت مشاهدة مذنب آريا للمرة الأخيرة قبل عامين من الآن، ولكنه يظهر بتكرار أقل من مذنب بوريس، حيث تمكن مشاهدته مرة كل 30 عاماً. يظهر مذنب وايف بشكل متكرر تقريبا مثل آريا \nبناء على هذه المعلومات، أي من الاستنتاجات التالية هو الأكثر دقة؟,"If I see a comet in the sky tonight, it is most likely to be Puris’",إن رأيت مذنباً في السماء الليلة، فالأرجح أنه مذنب بوريس,1,"If I see a comet in the sky tonight, it is most likely to be Farah’s",إن رأيت مذنباً في السماء الليلة، فالأرجح أنه مذنب فرح.,2,"If I see a comet in the sky tonight, it is most likely to be Aria’s",إن رأيت مذنباً في السماء الليلة، فالأرجح أنه مذنب آريا,3,"If I see a comet in the sky tonight, it is most likely to be Wave’s",إن رأيت مذنباً في السماء الليلة، فالأرجح أنه مذنب وايف,4,,,
Q3,Grass is to field as sand is to ___,العشب بالنسبة للحقل كالرمل بالنسبة لـ_____.,Ocean,المحيط,1,Desert,‌الصحراء,2,Mountain,الجبل,3,Forest,الغابة,4,,,
Q4,Amal is not taller than anyone on the basketball team. Zara is on the basketball team. Is the following statement True/False/Cannot determine from the text? ‘Amal is taller than Zara.',"أمل ليست أطول من أي شخص في فريق كرة السلة. زهرة عضوة في فريق كرة السلة.\n هل العبارة التالية صحيحة/خاطئة/لا يمكن معرفة ذلك؟ \أمل أطول من زهرة\""""",TRUE,صح,1,FALSE,خطأ,2,Cannot determine from the text,لا يمكن معرفة ذلك,3,,,,,,
Q5,Which one of these words is the odd one out?,أي الكلمات التالية لا تنتمي للمجموعة من حيث الدلالة؟,Astonish,مدهش,1,Amaze,صاعق,2,Surprise,مفاجئ,3,Shock,صادم,4,Bore,ممل,5
Q6,Runner A is a faster runner than Runner B. Runner C is a faster runner than Runner A. \nIs the following statement True/False/Cannot determine from the text? ‘Runner C is a faster runner than Runner B.',"العداء (أ ) أسرع من العداء (ب)، والعداء (ج) أسرع من العداء (أ). \nهل العبارة التالية صحيحة/خاطئة/لا يمكن معرفة ذلك؟ \العداء (ج) أسرع من العداء (ب).\""""",TRUE,صح,1,FALSE,خطأ,2,Cannot determine from the text,لا يمكن معرفة ذلك,3,,,,,,
Q7,"What is the opposite of the following word \abundant\""?""","ما هو عكس الكلمة التالية \فائض\""؟""",Scarce,نادر,1,Overflowing,عامر,2,Plentiful,وفير,3,Copious,كثير,4,,,
Q8,Which one of these words is the odd one out?,أي الكلمات التالية لا تنتمي للمجموعة من حيث الدلالة؟,Accelerate,تسريع,1,Increase,زيادة,2,Decrease,تقليل,3,Enhance,تحسين,4,Boost,تنشيط,5
Q9,Which one of these words is the odd one out?,أي الكلمات التالية لا تنتمي للمجموعة من حيث الدلالة؟,Courageous,شجاع,1,Brave,جريء,2,Timid,جبان,3,Fearless,باسل,4,Valiant,جسور,5
Q10,"In a recent survey, the most popular restaurants within the UAE were reported. Most foreign restaurants were Indian, followed by Lebanese, then by Italian restaurants, but Emirati restaurants are still more numerous than all of these.\nBased on this information, which of the following conclusions is most accurate?",في استطلاع حديث، تم تسليط الضوء على المطاعم الأجنبية الأكثر شعبية في دولة الإمارات العربية المتحدة. كانت معظم المطاعم الأجنبية هندية، تليها اللبنانية، ثم المطاعم الإيطالية، ولكن المطاعم الإماراتية لا تزال أكثر عددا من هذه المطاعم.\nبناء على هذه المعلومات، أي من الاستنتاجات التالية هو الأكثر دقة؟ ,"If I dine at a restaurant, it is most likely to serve Indian cuisine",‌إذا تناولت الطعام في مطعم، فمن المرجح أن يقدم الطعام الهندي,1,"If I dine at a restaurant, it is most likely to serve Lebanese cuisine",‌إذا تناولت الطعام في مطعم، فمن المرجح أن يقدم الطعام اللبناني,2,"If I dine at a restaurant, it is most likely to serve Italian cuisine",‌إذا تناولت الطعام في مطعم، فمن المرجح أن يقدم الطعام الإيطالي,3,"If I dine at a restaurant, it is most likely to serve Emirati cuisine",إذا تناولت الطعام في مطعم، فمن المرجح أن يقدم الطعام الإماراتي,4,,,
