header,questionEN,questionAR,answerEN1,answerAR1,value1,answerEN2,answerAR2,value2
Q1,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I change my approach quickly if it helps the work.,أغير أسلوب عملي بسرعة إذا كان ذلك يساعد العمل.,1,I believe taking a consistent approach is important.,أعتقد أن اتباع نهج ثابت أمر مهم.,2
Q2,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I feel pressured if I have to learn quickly.,أشعر بالضغط إذا اضطررت للتعلم بسرعة.,1,People have called me a 'fast learner'.,"يصفني الناس بـ\المتعلم السريع\"".""",2
Q3,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,People have called me competitive.,يصفني الناس بأنني شخص تنافسي.,1,I think taking part in an activity is more important than winning it.,أعتقد أن المشاركة في الأنشطة أكثر أهمية من الفوز بها.,2
Q4,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I'm driven by a constant desire to outperform.,لدي رغبة مستمرة في التفوق.,1,I take a relaxed approach to life.,أتبع نهجاً هادئًا في الحياة.,2
Q5,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,"I prefer clear, straightforward tasks.",أفضل المهام الواضحة والمباشرَة.,1,"I enjoy exploring complex, open-ended problems.",أستمتع باستكشاف المشكلات المعقدة التي تتيح مزيدًا من الاستكشاف.,2
Q6,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,My outlook keeps me energised.,نظرتي للمستقبل تبقيني أكثر نشاطاً.,1,I don't believe I need to be the most lively person.,لا أعتقد أنني بحاجة لأن أكون الشخص الأكثر حيوية ونشاطاً.,2
Q7,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I am comfortable living with uncertainty.,لا يزعجني التعايش مع الأمور غير الواضحة أو المجهولة.,1,I seek stability and routine in my life.,أبحث عن الاتزان والروتين في حياتي.,2
Q8,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,Social situations can be draining for me.,تستنزف المواقف الاجتماعية طاقتي.,1,I feel energised when interacting with others.,أشعر بالنشاط عند التفاعل أو التعامل مع الآخرين.,2
Q9,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I often rely on others for support when working in a team.,غالباً أعتمد على الآخرين للحصول على الدعم عند العمل مع فريق.,1,I can rely only on myself to get things done.,لا يمكنني الاعتماد إلا على نفسي فقط لإنجاز الأمور.,2
Q10,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I like to be given the space to learn at a relaxed pace.,أحب أن يُمنح لي المجال للتعلّم بطريقة مريحة.,1,I am quick to assimilate the key points of new information.,أنا سريع في استيعاب النقاط الرئيسية للمعلومات الجديدة.,2
Q11,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I enjoy discussing abstract or theoretical topics.,أستمتع بمناقشة المواضيع المجردة أو النظرية.,1,I enjoy discussing topics with practical application.,أستمتع بمناقشة المواضيع ذات التطبيقات العملية.,2
Q12,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I am a natural leader.,أنا قائد بطبيعتي.,1,I don't need to win to know I'm doing well.,لست بحاجة إلى الفوز لمعرفة أن أدائي جيد.,2
Q13,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I take every opportunity to work on challenging tasks.,أستغل كل فرصة للعمل على المهام الصعبة التي تتطلب تحديًا.,1,I keep a balanced workload without constantly taking on challenges.,أحافظ على التوازن في عملي دون أن أبحث عن التحديات بشكل مستمر.,2
Q14,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I approach problems with innovative and unique ideas.,أتعامل مع المشاكل بأفكار مبتكرة وفريدة من نوعها.,1,I like to solve problems with time-tested methods.,أحب حل المشكلات باستخدام الأساليب التي تم اختبارها مع الوقت.,2
Q15,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I usually wait for someone else to bring energy to the group.,في العادة، أنتظر شخصًا آخر ليعزز الحماس في المجموعة.,1,I draw energy from others to cheer up the group.,أستمد القوة من الآخرين لأرفع معنويات المجموعة.,2
Q16,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I need to be convinced of the benefits of change.,يجب أن أكون مقتنعاً بفوائد التغيير.,1,I actively seek new experiences.,أحرص على البحث عن تجارب جديدة باستمرار.,2
Q17,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I tend to gravitate to people I'm familiar with.,أميل إلى التعامل مع الأشخاص المألوفين بالنسبة لي.,1,I am comfortable being with people I don't know.,لا أجد صعوبة في التعامل مع الأشخاص الذين لا أعرفهم.,2
Q18,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I enjoy collaborating with others to achieve common goals.,أستمتع بالتعاون مع الآخرين لتحقيق أهداف مشتركة.,1,I enjoy pursuing individual goals.,أستمتع بالعمل على تحقيق أهداف فردية.,2
Q19,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I feel all right if unexpected changes require adopting a new strategy.,لا أمانع إذا اضطررت إلى اعتماد استراتيجية جديدة بسبب تغييرات غير متوقعة.,1,I feel uncomfortable when my plans get disrupted.,أشعر بعدم الراحة عندما تتعطل خططي.,2
Q20,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,The solutions I find are different from most people’s.,تختلف الحلول التي أجدها عن الحلول التي يجدها معظم الناس.,1,I want to ensure that we are using the most effective solution.,أرغب في التأكد من أننا نستخدم الحل الأنسب والأكثر كفاءة.,2
Q21,Please choose the statement that sounds most like you.,من بين العبارتين التاليتين، يرجى اختيار العبارة التي تنطبق عليك أكثر من غيرها. ,I am pleased when others succeed.,أشعر بالسعادة عندما ينجح الآخرون.,1,I seek to beat my opposition regardless of the task.,أحاول التغلب على خصمي بغض النظر عن المَهمة.,2
