header,questionEN,questionAR,answerEN1,answerAR1,value1,answerEN2,answerAR2,value2,answerEN3,answerAR3,value3,answerEN4,answerAR4,value4,answerEN5,answerAR5,value5
Q1,42 + 65 =,42 + 65 =,97,97,1,107,107,2,117,117,3,,,,,,
Q2,What is the missing number?\n20   __   38   47   56,ما هو الرقم المفقود؟ \n20   __   38   47   56,29,29,1,30,30,2,31,31,3,,,,,,
Q3,68 + 52 =,68 + 52 =,110,110,1,120,120,2,130,130,3,,,,,,
Q4,What is the missing number? \n3   6   9   __   15,ما هو الرقم المفقود؟ \n3   6   9   __   15,11,11,1,12,12,2,13,13,3,,,,,,
Q5,What is the missing number?\n8   10   14   20   __   38,ما هو الرقم المفقود؟ \n8   10   14   20   __   38,27,27,1,28,28,2,29,29,3,30,30,4,,,
Q6,92 - 58 =,92 - 58 =,34,34,1,44,44,2,54,54,3,,,,,,
Q7,105 - 62 =,105 - 62 =,33,33,1,43,43,2,53,53,3,,,,,,
Q8,What is the missing number?\n__   26   32   38   44,ما هو الرقم المفقود؟ \n__   26   32   38   44,18,18,1,20,20,2,22,22,3,,,,,,
Q9,What was the percentage increase in total number of tourists annually from ten years ago compared to this year? (to the nearest whole number)\n![Q9 & Q13a.png](/api/backend/files/66c342418ec3820058d33bd4.png)\n![Q9 & Q13b.png](/api/backend/files/66c3426e8ec3820058d33bd5.png),ما هي النسبة المئوية للزيادة في إجمالي عدد السياح سنويا منذ عشر سنوات مقارنة بهذا العام؟ (لأقرب رقم صحيح)\n![Q9 & Q13a ARA.png](/api/backend/files/66c342808ec3820058d33bd6.png)\n![Q9 & Q13b ARA.png](/api/backend/files/66c3428b3e0b79005810f10a.png),32,32,1,47,47,2,50,50,3,53,53,4,68,68,5
Q10,What is the missing number?\n800   400   200   100   50   __,ما هو الرقم المفقود؟ \n800   400   200   100   50   __,0,0,1,10,10,2,20,20,3,25,25,4,,,
Q11,Aziz is holding twice as much money as Ahmad. Ahmad is holding three times as much money as Saeed. Saeed is holing 125 AED. How much money is Aziz holding?,يمتلك عزيز ضعف كمية المال الذي يمتلكها أحمد. يمتلك أحمد ثلاثة أضعاف كمية المال التي يمتلكها سعيد. لدى سعيد 125 درهم إماراتي. كم يملك عزيز من المال؟,375 AED,375 درهم,1,625 AED,625 درهم,2,750 AED,750 درهم,3,1250 AED,1250 درهم,4,,,
Q12,What is the missing number?\n82   __   91   100   112   127,ما هو الرقم المفقود؟ \n82   __   91   100   112   127,83,83,1,85,85,2,87,87,3,89,89,4,,,
Q13,"In total, how many tourists visited Location 1 & 5 this year?\n![Q9 & Q13a.png](/api/backend/files/66c342ceb13e4f0058c5baf4.png)\n![Q9 & Q13b.png](/api/backend/files/66c342d8b13e4f0058c5baf5.png)",في المجموع، كم عدد السياح الذين زاروا الموقع 1 والموقع 5 هذا العام؟\n![Q9 & Q13a ARA.png](/api/backend/files/66c342ed3e0b79005810f115.png)\n![Q9 & Q13b ARA.png](/api/backend/files/66c342f8b13e4f0058c5baf6.png),"3,910,000","3,910,000",1,"4,945,000","4,945,000",2,"5,593,500","5,593,500",3,"5,763,000","5,763,000",4,"7,288,500","7,288,500",5
Q14,What is the missing number?\n5   12   22   35   __   70,ما هو الرقم المفقود؟ \n5   12   22   35   __   70,43,43,1,46,46,2,48,48,3,51,51,4,,,
Q15,A store is offering a 35% discount on all items. If the original price of a product is 80 AED.  What is the discounted price?, قرر متجر عمل خصم بنسبة 35% على جميع المنتجات. إذا كان السعر الأصلي للمنتج هو 80 درهم إماراتي، فما هو السعر بعد الخصم؟,44 AED,44 درهم,1,48 AED,48 درهم,2,52 AED,52 درهم,3,55 AED,55 درهم,4,,,
