header,questionEN,questionAR,answerEN1,answerAR1,value1,answerEN2,answerAR2,value2,answerEN3,answerAR3,value3,answerEN4,answerAR4,value4,answerEN5,answerAR5,value5
Q1,How many differences are there between the two pictures?\n![Q1.png](/api/backend/files/6913272bcdf2af00605dfac8.png)\n,كم عدد الاختلافات بين الصورتين؟\n![Q1.png](/api/backend/files/6913274ecdf2af00605dfac9.png)\n,0,0,1,1,1,2,2,2,3,3,3,4,,,
Q2,How many differences are there between the two pictures?\n![Q2.png](/api/backend/files/69132760cdf2af00605dfaca.png)\n,كم عدد الاختلافات بين الصورتين؟\n![Q2.png](/api/backend/files/69132768af3f29005fce6b68.png)\n,0,0,1,1,1,2,2,2,3,3,3,4,,,
Q3,In how many rows is Version 1 the same as Version 2?\n![Q3.png](/api/backend/files/6913277acdf2af00605dfacb.png)\n,كم عدد السطور المتشابهة بين النسخة 1 و النسخة 2؟\n![Q3_ARA.png](/api/backend/files/69132782af3f29005fce6b69.png)\n,1,1,1,2,2,2,3,3,3,4,4,4,,,
Q4,How many differences are there between Version 1 and Version 2?\n![Q4.png](/api/backend/files/69132794cdf2af00605dfad1.png)\n,كم عدد الاختلافات بين النسخة 1 و النسخة 2؟\n![Q4_ARA.png](/api/backend/files/691327a1cdf2af00605dfad2.png)\n,0,0,1,1,1,2,2,2,3,3,3,4,,,
Q5,How many differences are there between Version 1 and Version 2?\n![Q5.png](/api/backend/files/691327b047fbb600586e9f92.png)\n,كم عدد الاختلافات بين  النسخة 1 و النسخة 2؟\n![Q5_ARA.png](/api/backend/files/691327b7cdf2af00605dfad3.png)\n,0,0,1,1,1,2,2,2,3,3,3,4,,,
Q6,How many differences are there between Version 1 and Version 2?\n![Q6.png](/api/backend/files/691327c8cdf2af00605dfad4.png)\n,كم عدد الاختلافات بين  النسخة 1 و النسخة 2؟\n![Q6_ARA.png](/api/backend/files/691327d747fbb600586e9f98.png)\n,0,0,1,1,1,2,2,2,3,3,3,4,,,
Q7,How many differences are there between the two pictures?\n![Q7.png](/api/backend/files/691327e847fbb600586e9f99.png)\n,كم عدد الاختلافات بين الصورتين؟\n![Q7.png](/api/backend/files/691327f0cdf2af00605dfad5.png)\n,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5
Q8,In how many rows is Version 1 the same as Version 2?\n![Q8.png](/api/backend/files/69132800cdf2af00605dfad6.png)\n,كم عدد السطور المتشابهة بين  النسخة 1 و النسخة 2؟\n![Q8_ARA.png](/api/backend/files/6913280b47fbb600586e9f9a.png)\n,1,1,1,2,2,2,3,3,3,4,4,4,,,
Q9,How many of the four pictures in the left-hand column are exactly the same as the corresponding picture in the right-hand column?\n![Q9.png](/api/backend/files/6913281d47fbb600586e9f9b.png)\n,كم صورة من الصور الأربع الموجودة في العمود الأيسر تتشابه بدقة مع الصورة المقابلة لها في العمود الأيمن؟\n![Q9.png](/api/backend/files/69132828cdf2af00605dfad7.png)\n,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5
Q10,How many of the three pictures in the left-hand column are exactly the same as the corresponding picture in the right-hand column?\n![Q10.png](/api/backend/files/6913283a47fbb600586e9f9c.png)\n,كم صورة من الصور الثلاث الموجودة في العمود الأيسر تتشابه بدقة مع الصورة المقابلة لها في العمود الأيمن؟\n![Q10.png](/api/backend/files/6913284aaf3f29005fce6b80.png)\n,0,0,1,1,1,2,2,2,3,3,3,4,,,
Q11,How many differences are there between Version 1 and Version 2?\n![Q11.png](/api/backend/files/6913285bcdf2af00605dfad8.png)\n,كم عدد الاختلافات بين النسخة 1 و النسخة 2؟\n![Q11_ARA.png](/api/backend/files/69132865af3f29005fce6b81.png)\n,0,0,1,1,1,2,2,2,3,3,3,4,,,
Q12,How many differences are there between the two pictures?\n![Q12.png](/api/backend/files/69132875af3f29005fce6b82.png)\n,كم عدد الاختلافات بين الصورتين؟\n![Q12.png](/api/backend/files/6913288147fbb600586e9fa2.png)\n,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5
Q13,In how many rows is Version 1 the same as Version 2?\n![Q13.png](/api/backend/files/69132894cdf2af00605dfade.png)\n,كم عدد السطور المتشابهة بين  النسخة 1 و النسخة 2؟\n![Q13_ARA.png](/api/backend/files/6913289baf3f29005fce6b83.png)\n,1,1,1,2,2,2,3,3,3,4,4,4,,,
Q14,How many differences are there between the two pictures?\n![Q14.png](/api/backend/files/691328b6cdf2af00605dfadf.png)\n,كم عدد الاختلافات بين الصورتين؟\n![Q14.png](/api/backend/files/691328bc47fbb600586e9fae.png)\n,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5
Q15,How many of the three pictures in the left-hand column are exactly the same as the corresponding picture in the right-hand column?\n![Q15.png](/api/backend/files/691328ccaf3f29005fce6b84.png)\n,كم صورة من الصور الثلاث الموجودة في العمود الأيسر تتشابه بدقة مع الصورة المقابلة لها في العمود الأيمن؟\n![Q15.png](/api/backend/files/691328d5af3f29005fce6b85.png)\n,0,0,1,1,1,2,2,2,3,3,3,4,,,
